Position,Title,Title Type,Runtime,Year,Genres,Directors
70,The Breakfast Club,movie,97,1985,"Comedy, Drama",John Hughes
71,Bride of Frankenstein,movie,75,1935,"Drama, Horror, Sci-Fi",James Whale
72,The Bridge on the River Kwai,movie,161,1957,"Adventure, Drama, War",David Lean
73,Bringing Up Baby,movie,102,1938,Comedy,Howard Hawks
74,Broken Blossoms or The Yellow Man and the Girl,movie,90,1919,"Drama, Romance",D.W. Griffith
75,Bullitt,movie,114,1968,"Action, Crime, Thriller",Peter Yates
76,Butch Cassidy and the Sundance Kid,movie,110,1969,"Biography, Crime, Drama, Western",George Roy Hill
77,Cabaret,movie,124,1972,"Drama, Music, Musical, Romance",Bob Fosse
78,The Cameraman,movie,76,1928,"Comedy, Drama, Family, Romance","Edward Sedgwick, Buster Keaton"
79,Carmen Jones,movie,105,1954,"Drama, Musical, Romance",Otto Preminger
80,Casablanca,movie,102,1942,"Drama, Romance, War",Michael Curtiz
81,Cat People,movie,73,1942,"Fantasy, Horror, Thriller",Jacques Tourneur
82,Chan Is Missing,movie,76,1982,"Drama, Mystery",Wayne Wang
83,The Cheat,movie,59,1915,"Drama, Romance",Cecil B. DeMille
84,The Chechahcos,movie,87,1923,"Adventure, Drama, Western",Lewis H. Moomaw
85,Chinatown,movie,130,1974,"Drama, Mystery, Thriller",Roman Polanski
86,A Christmas Story,movie,93,1983,"Comedy, Family",Bob Clark
87,Citizen Kane,movie,119,1941,"Drama, Mystery",Orson Welles
88,City Lights,movie,87,1931,"Comedy, Drama, Romance",Charles Chaplin
89,Civilization,movie,85,1915,"Drama, War","Thomas H. Ince, Jay Hunt, J. Parker Read Jr., Raymond B. West, Reginald Barker, Walter Edwards, David Hartford"
90,Clash of the Wolves,movie,74,1925,"Adventure, Family, Romance, Western",Noel M. Smith
91,Close Encounters of the Third Kind,movie,138,1977,"Drama, Sci-Fi",Steven Spielberg
92,The Conversation,movie,113,1974,"Drama, Mystery, Thriller",Francis Ford Coppola
93,Cool Hand Luke,movie,127,1967,"Crime, Drama",Stuart Rosenberg
94,The Cool World,movie,105,1963,"Crime, Drama",Shirley Clarke
95,The Court Jester,movie,101,1955,"Adventure, Comedy, Family, Musical","Melvin Frank, Norman Panama"
96,The Crowd,movie,98,1928,"Drama, Music, Romance",King Vidor
97,"Dance, Girl, Dance",movie,90,1940,"Comedy, Drama, Music","Dorothy Arzner, Roy Del Ruth"
98,Dances with Wolves,movie,181,1990,"Adventure, Drama, Western",Kevin Costner
99,The Daughter of Dawn,movie,80,1920,"Romance, Western",Norbert A. Myles
100,Daughter of Shanghai,movie,62,1937,"Crime, Drama, Romance",Robert Florey
101,Daughters of the Dust,movie,113,1991,"Drama, History, Romance",Julie Dash
102,David Holzman's Diary,movie,74,1967,"Comedy, Drama",Jim McBride
103,The Day the Earth Stood Still,movie,92,1951,"Drama, Sci-Fi",Robert Wise
104,Days of Heaven,movie,94,1978,"Drama, Romance",Terrence Malick
105,The Deer Hunter,movie,183,1978,"Drama, War",Michael Cimino
106,Deliverance,movie,109,1972,"Adventure, Drama, Thriller",John Boorman
107,Destry Rides Again,movie,95,1939,"Comedy, Western",George Marshall
108,Detour,movie,66,1945,"Crime, Drama, Film-Noir",Edgar G. Ulmer
109,Dirty Harry,movie,102,1971,"Action, Crime, Thriller","Don Siegel, Clint Eastwood"
110,D.O.A.,movie,83,1949,"Crime, Drama, Film-Noir, Mystery",Rudolph Maté
111,Do the Right Thing,movie,120,1989,"Comedy, Drama",Spike Lee
112,The Docks of New York,movie,76,1928,"Crime, Drama, Film-Noir, Romance",Josef von Sternberg
113,Dodsworth,movie,101,1936,"Drama, Romance",William Wyler
114,Dog Day Afternoon,movie,125,1975,"Biography, Crime, Drama, Thriller",Sidney Lumet
115,Double Indemnity,movie,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",Billy Wilder
116,Down Argentine Way,movie,89,1940,"Comedy, Drama, Musical, Romance, Sport",Irving Cummings
117,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,95,1964,"Comedy, War",Stanley Kubrick
118,Dracula,movie,75,1931,"Drama, Fantasy, Horror","Karl Freund, Tod Browning"
